"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 15:27:31 MSK 2024","Thu Jun 13 15:27:35 MSK 2024","3920","tests","test_main_functionality","TestMainFuncPage","","","Залогированный пользователь может оформить заказ.",""
"passed","Thu Jun 13 15:29:39 MSK 2024","Thu Jun 13 15:29:45 MSK 2024","6273","tests","test_orders_feed","TestOrdersLentaPage","","","При создании нового заказа счётчик Выполнено за сегодня увеличивается",""
"broken","Thu Jun 13 15:32:57 MSK 2024","Thu Jun 13 15:33:13 MSK 2024","16210","tests","test_personal_account","TestAccountPage","","","Переход в раздел «История заказов»",""
"passed","Tue Jun 11 23:50:57 MSK 2024","Tue Jun 11 23:51:00 MSK 2024","2998","tests","test_personal_account","TestOrderFeed","","","Переход по клику на «Личный кабинет»",""
"passed","Thu Jun 13 15:26:21 MSK 2024","Thu Jun 13 15:26:54 MSK 2024","33011","tests","test_main_functionality","TestMainFuncPage","","","Всплывающее окно закрывается кликом по крестику",""
"skipped","Tue Jun 11 23:27:03 MSK 2024","Tue Jun 11 23:27:03 MSK 2024","0","","","","","","Клик по кнопке Лента",""
"passed","Thu Jun 13 15:28:10 MSK 2024","Thu Jun 13 15:28:20 MSK 2024","9414","tests","test_orders_feed","TestOrdersLentaPage","","","Если кликнуть на заказ, откроется всплывающее окно с деталями",""
"passed","Thu Jun 13 15:30:31 MSK 2024","Thu Jun 13 15:30:40 MSK 2024","9177","tests","test_orders_feed","TestOrdersLentaPage","","","После оформления заказа его номер появляется в разделе В работе.",""
"passed","Thu Jun 13 15:30:58 MSK 2024","Thu Jun 13 15:31:01 MSK 2024","2087","tests","test_password_recovery","TestLoginPage","","","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","Нажимаем на кнопку «Восстановить пароль», выполняется переход на страницу /forgot-password"
"broken","Tue Jun 11 23:51:32 MSK 2024","Tue Jun 11 23:51:35 MSK 2024","2307","tests","test_personal_account","TestOrderFeed","","","Выход из аккаунта",""
"passed","Thu Jun 13 15:27:25 MSK 2024","Thu Jun 13 15:27:27 MSK 2024","2041","tests","test_main_functionality","TestMainFuncPage","","","При добавлении ингредиента в заказ счётчик этого ингридиента увеличивается",""
"passed","Thu Jun 13 15:29:57 MSK 2024","Thu Jun 13 15:30:03 MSK 2024","6274","tests","test_orders_feed","TestOrdersLentaPage","","","При создании нового заказа счётчик Выполнено за сегодня увеличивается",""
"passed","Thu Jun 13 15:27:47 MSK 2024","Thu Jun 13 15:27:51 MSK 2024","4157","tests","test_main_functionality","TestMainFuncPage","","","Залогированный пользователь может оформить заказ.",""
"passed","Thu Jun 13 15:25:59 MSK 2024","Thu Jun 13 15:26:01 MSK 2024","2089","tests","test_main_functionality","TestMainFuncPage","","","Если кликнуть на ингредиент, появится всплывающее окно с деталями",""
"passed","Thu Jun 13 15:26:12 MSK 2024","Thu Jun 13 15:26:18 MSK 2024","5445","tests","test_main_functionality","TestMainFuncPage","","","Если кликнуть на ингредиент, появится всплывающее окно с деталями",""
"broken","Thu Jun 13 15:33:36 MSK 2024","Thu Jun 13 15:33:39 MSK 2024","3096","tests","test_personal_account","TestAccountPage","","","Выход из аккаунта",""
"broken","Thu Jun 13 15:27:05 MSK 2024","Thu Jun 13 15:27:07 MSK 2024","2247","tests","test_main_functionality","TestMainFuncPage","","","Всплывающее окно закрывается кликом по крестику",""
"passed","Thu Jun 13 15:25:53 MSK 2024","Thu Jun 13 15:25:56 MSK 2024","2797","tests","test_main_functionality","TestMainFuncPage","","","Клик по кнопке Лента",""
"passed","Thu Jun 13 15:31:42 MSK 2024","Thu Jun 13 15:31:46 MSK 2024","4486","tests","test_password_recovery","TestLoginPage","","","Ввод почты и клик по кнопке «Восстановить»","Создается страница forgot_password_page, заполняется почта, клик по кнопке «Восстановить»"
"passed","Tue Jun 11 23:51:03 MSK 2024","Tue Jun 11 23:51:05 MSK 2024","2495","tests","test_personal_account","TestOrderFeed","","","Переход в раздел «История заказов»",""
"passed","Thu Jun 13 15:28:24 MSK 2024","Thu Jun 13 15:28:30 MSK 2024","6534","tests","test_orders_feed","TestOrdersLentaPage","","","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»",""
"passed","Thu Jun 13 15:27:12 MSK 2024","Thu Jun 13 15:27:14 MSK 2024","2486","tests","test_main_functionality","TestMainFuncPage","","","При добавлении ингредиента в заказ счётчик этого ингридиента увеличивается",""
"passed","Thu Jun 13 15:32:29 MSK 2024","Thu Jun 13 15:32:33 MSK 2024","4430","tests","test_personal_account","TestAccountPage","","","Переход по клику на «Личный кабинет»",""
"passed","Thu Jun 13 15:30:09 MSK 2024","Thu Jun 13 15:30:18 MSK 2024","9135","tests","test_orders_feed","TestOrdersLentaPage","","","После оформления заказа его номер появляется в разделе В работе.",""
"passed","Thu Jun 13 15:32:40 MSK 2024","Thu Jun 13 15:32:44 MSK 2024","3826","tests","test_personal_account","TestAccountPage","","","Переход в раздел «История заказов»",""
"passed","Thu Jun 13 15:29:28 MSK 2024","Thu Jun 13 15:29:34 MSK 2024","6072","tests","test_orders_feed","TestOrdersLentaPage","","","При создании нового заказа счётчик Выполнено за всё время увеличивается",""
"skipped","Tue Jun 11 23:28:44 MSK 2024","Tue Jun 11 23:28:44 MSK 2024","0","","","","","","Клик по кнопке Лента",""
"passed","Thu Jun 13 15:28:42 MSK 2024","Thu Jun 13 15:28:48 MSK 2024","6629","tests","test_orders_feed","TestOrdersLentaPage","","","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»",""
"passed","Thu Jun 13 15:32:12 MSK 2024","Thu Jun 13 15:32:17 MSK 2024","4613","tests","test_personal_account","TestAccountPage","","","Переход по клику на «Личный кабинет»",""
"passed","Thu Jun 13 15:25:40 MSK 2024","Thu Jun 13 15:25:43 MSK 2024","2703","tests","test_main_functionality","TestMainFuncPage","","","Клик по кнопке Лента",""
"broken","Tue Jun 11 23:51:14 MSK 2024","Tue Jun 11 23:51:16 MSK 2024","2370","tests","test_personal_account","TestOrderFeed","","","Переход в раздел «История заказов»",""
"passed","Sat Jun 08 13:21:55 MSK 2024","Sat Jun 08 13:21:57 MSK 2024","2200","tests","test_main_functionality","TestMainFuncPage","","","Всплывающее окно закрывается кликом по крестику",""
"passed","Thu Jun 13 15:31:50 MSK 2024","Thu Jun 13 15:31:54 MSK 2024","4605","tests","test_password_recovery","TestLoginPage","","","Клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","Проверяю изменение атрибута type у элемента глазик"
"passed","Thu Jun 13 15:25:23 MSK 2024","Thu Jun 13 15:25:25 MSK 2024","1998","tests","test_main_functionality","TestMainFuncPage","","","Клик по кнопке Конструктор",""
"passed","Thu Jun 13 15:32:05 MSK 2024","Thu Jun 13 15:32:08 MSK 2024","3138","tests","test_password_recovery","TestLoginPage","","","Клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","Проверяю изменение атрибута type у элемента глазик"
"skipped","Thu Jun 13 15:16:15 MSK 2024","Thu Jun 13 15:16:15 MSK 2024","0","","","","","","Клик по кнопке Конструктор",""
"passed","Thu Jun 13 15:27:57 MSK 2024","Thu Jun 13 15:27:59 MSK 2024","2918","tests","test_orders_feed","TestOrdersLentaPage","","","Если кликнуть на заказ, откроется всплывающее окно с деталями",""
"passed","Thu Jun 13 15:28:54 MSK 2024","Thu Jun 13 15:29:16 MSK 2024","22527","tests","test_orders_feed","TestOrdersLentaPage","","","При создании нового заказа счётчик Выполнено за всё время увеличивается",""
"passed","Thu Jun 13 15:31:04 MSK 2024","Thu Jun 13 15:31:29 MSK 2024","24392","tests","test_password_recovery","TestLoginPage","","","Ввод почты и клик по кнопке «Восстановить»","Создается страница forgot_password_page, заполняется почта, клик по кнопке «Восстановить»"
"passed","Thu Jun 13 15:33:18 MSK 2024","Thu Jun 13 15:33:23 MSK 2024","4560","tests","test_personal_account","TestAccountPage","","","Выход из аккаунта",""
"passed","Sat Jun 08 13:21:41 MSK 2024","Sat Jun 08 13:21:44 MSK 2024","2552","tests","test_main_functionality","TestMainFuncPage","","","Всплывающее окно закрывается кликом по крестику",""
"passed","Tue Jun 11 23:50:45 MSK 2024","Tue Jun 11 23:50:48 MSK 2024","2979","tests","test_personal_account","TestOrderFeed","","","Переход по клику на «Личный кабинет»",""
"passed","Thu Jun 13 15:25:35 MSK 2024","Thu Jun 13 15:25:37 MSK 2024","2334","tests","test_main_functionality","TestMainFuncPage","","","Клик по кнопке Конструктор",""
"passed","Tue Jun 11 23:51:20 MSK 2024","Tue Jun 11 23:51:23 MSK 2024","3711","tests","test_personal_account","TestOrderFeed","","","Выход из аккаунта",""
"passed","Thu Jun 13 15:30:45 MSK 2024","Thu Jun 13 15:30:47 MSK 2024","1572","tests","test_password_recovery","TestLoginPage","","","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»","Нажимаем на кнопку «Восстановить пароль», выполняется переход на страницу /forgot-password"
